number,a_name,rim_type,shoulder_type,handles_profile,handle_section,neck_type,body_type,base_type,capacity,height_min,height_max,width_min,width_max,rim_diameter_min,rim_diameter_max,manufacture
239,Late Roman Amphora 2,Everted,Rounded,Bowed,Ovoid/Elliptical,Conical,Globular,Rounded basal point,40-45 litres,51,74,42,55,11,14,LRA 2 fabric
240,Late Roman Amphora 3,Rounded,Rounded,Ear-shaped,Grooved,Conical,Tapered,Spike/tapered,Unsure,46,68,18,25,4,5,LRA 3 fabric
243,Late Roman Amphora 7,Beaded,Carinated,Curved,Round,Cylindrical,Tapered,Spike/tapered,0-10 litres,60,70,16,18,6,7,LRA 7 fabric
249,Mau 35,Rounded,Carinated,Long vertical,Bifid,Cylindrical,Tapered,Spike/tapered,10-15 litres,61,80,28,35,9,12,
255,Mid Roman Amphora 5,Rounded,Rounded,Bowed,Ridged,Conical,Ovoid,Spike/tapered,75-80 litres,43,44,26,36,11,12,
258,Oberaden 83,Rounded,Rounded,Curved,Round,Cylindrical,Ovoid,Spike/tapered,Unsure,80,81,44,45,16,17,Dressel 20 fabric
259,Opaiţ B1,Rounded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Cylindrical,Knobbed,80-85 litres,47,100,23,41,10,15,Opaiţ B1 fabric
262,Opaiţ E4,Everted,Rounded,Curved,Ovoid/Elliptical,Conical,Tapered,Pointed,Unsure,48,50,31,35,8,11,Opaiţ E4 fabric
263,Opaiţ E8,Everted,Rounded,Curved,Round,Cylindrical,Tapered,Spike/tapered,0-10 litres,44,52,8,14,0,6,Opaiţ E8 fabric
264,Opaiţ F9,Rounded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Ovoid,Knobbed,Unsure,45,75,27,40,11,22,Opaiţ F9 fabric
265,Ostia 59,Beaded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Cylindrical,Knobbed,Unsure,86,100,32,35,12,14,Tunisian fabric
267,Late Roman Amphora 5,Rounded,Rounded,Ring,Ovoid/Elliptical,None,Globular,Rounded,20-25 litres,39,43,32,36,10,11,
268,Pascual 1,Collar,Rounded,Short vertical,Grooved,Cylindrical,Ovoid,Spike/tapered,20-25 litres,95,100,31,32,6,13,
271,Peacock & Williams 60,Triangular,None/smooth,Curved,Ovoid/Elliptical,Cylindrical,Globular,Rounded basal point,Unsure,44,45,34,35,11,12,
273,Gauloise 15,Everted,Rounded,Bowed,Grooved,Cylindrical,Tapered,Spike/tapered,Unsure,45,51,14,15,9,10,Gauloise 15 fabric
278,Pompeii 5,Flanged,Rounded,Peaked,Ridged,Conical,Tapered,Ringed,Unsure,36,53,0,0,0,0,Pompeii 5 fabric
280,Pompeii 13,Rounded,Carinated,Peaked,Bifid,Broad/wide,Piriform,Knobbed,Unsure,91,92,32,33,18,19,
281,Pompeii 38,Rounded,Carinated,Peaked,Ovoid/Elliptical,Cylindrical,Cylindrical,Knobbed,Unsure,83,84,26,27,10,11,Pompeii 38 fabric
286,Richborough 527,Rounded,None/smooth,Ear-shaped,Ridged,None,Cylindrical,Spike/tapered,25-30 litres,0,0,0,0,0,0,Richborough 527 fabric
287,Samos Cistern Type,Rounded,None/smooth,Curved,Ovoid/Elliptical,Broad/wide,Cylindrical,Spike/tapered,0-10 litres,60,70,20,22,8,12,Samos Cistern Type fabric
288,Schรถrgendorfer 558,Rounded,Carinated,Long vertical,Grooved,Cylindrical,Tapered,Cylindrical,Unsure,70,75,27,29,14,16,Schรถrgendorfer 558 fabric
289,Spatheion 1,Everted,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Narrow,Spike/tapered,0-10 litres,81,96,14,18,10,11,Tunisian fabric
290,Spello,Everted,Rounded,Long vertical,Ridged,Cylindrical,Tapered,Ringed,15-20 litres,59,61,34,36,9,9,
291,Stonea type,Rounded,None/smooth,Curved,Ovoid/Elliptical,Cylindrical,Piriform,Flat,Unsure,0,107,0,65,0,22,Stonea fabric
301,Teliţa,Rounded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Ovoid,Knobbed,15-20 litres,44,65,21,30,10,12,Teliţa fabric
302,OpaiĹŁ C2,Rounded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Ovoid,Spike/tapered,25-30 litres,36,45,18,27,6,7,Torone 3 fabric
303,OpaiĹŁ C1,Rounded,Rounded,Curved,Ovoid/Elliptical,Cylindrical,Ovoid,Pointed,50-55 litres,58,94,27,40,7,13,Torone 7 fabric
304,Tripolitanian 1,Everted,Rounded,Short vertical,Ovoid/Elliptical,Cylindrical,Cylindrical,Spike/tapered,Unsure,98,105,33,36,14,15,
305,Tripolitanian 2,Everted,Rounded,Ear-shaped,Round,Short/narrow,Cylindrical,Spike/tapered,80-85 litres,0,118,30,37,14,17,
306,Tripolitanian 3,Everted,Rounded,Ear-shaped,Ovoid/Elliptical,Conical,Cylindrical,Spike/tapered,80-85 litres,0,115,38,38,13,14,
307,Vindonissa 592,Everted,Rounded,Ring,Ovoid/Elliptical,Broad/wide,Cylindrical,Spike/tapered,Unsure,0,76,0,17,0,13,Tunisian fabric
308,Africana 2B Pseudo-Tripolitanian,Everted,Rounded,Ear-shaped,Semi-circular,Cylindrical,Piriform,Knobbed,Unsure,104,104,38,44,14,14,Tunisian fabric
309,Africana 3B,Flaring,Carinated,Ear-shaped,Ridged,Conical,Cylindrical,Spike/tapered,20-25 litres,107,112,25,26,12,13,Tunisian fabric
310,Africana 3C,Everted,Rounded,Ear-shaped,Ovoid/Elliptical,Cylindrical,Cylindrical,Spike/tapered,20-25 litres,105,115,22,27,12,16,Tunisian fabric
311,Agora F65-66,Beaded,None/smooth,Arched,Round,Short/narrow,Ovoid,Short hollow,0-10 litres,24,47,0,0,0,0,Agora F65-66 fabric
312,Agora M334,Flanged,Rounded,Arched,Ridged,Cylindrical,Tapered,Button,Unsure,55,57,0,0,0,0,Agora M334 fabric
313,Almagro 51C Variant,Collar,,,,,,Short hollow,0-10 litres,55,59,18,19,7,12,
314,AM72,Collar,Carinated,Long vertical,Grooved,Cylindrical,Tapered,Short hollow,Unsure,0,0,0,0,11,14,AM72 fabric
315,Amphore de Pamphylie,Rounded,Carinated,Curved,Semi-circular,Short/narrow,Ovoid,Rounded basal point,Unsure,46,63,29,37,7,10,Amphore de Pamphylie fabric
316,Amphore Ăgyptienne 1,Beaded,Carinated,Long vertical,Ridged,Cylindrical,Tapered,Spike/tapered,Unsure,0,0,0,0,0,0,Lake Mariout fabric
317,Amphore Ăgyptienne 2,Collar,Rounded,Long vertical,Grooved,Conical,Ovoid,Spike/tapered,Unsure,0,0,0,0,0,0,Lake Mariout fabric
318,Amphore Ăgyptienne Bitronconique 3,Triangular,Rounded,Bowed,Ovoid/Elliptical,Cylindrical,Tapered,Spike/tapered,Unsure,0,0,0,0,0,0,
319,Amrit amphora,Beaded,Rounded,Long vertical,Grooved,Cylindrical,Tapered,Button,Unsure,0,95,0,34,8,12,Amrit fabric
320,Beirut 2,Triangular,Rounded,Curved,Ridged,Broad/wide,Tapered,Pointed,Unsure,0,0,0,0,8,10,Beirut City fabric
321,Carthage Early Roman 4,Flaring,Rounded,Long vertical,Ridged,Cylindrical,Cylindrical,Long hollow,Unsure,0,95,0,0,0,17,Tunisian fabric
322,Con Orlo a Fascia,Collar,Rounded,Short vertical,,Cylindrical,Cylindrical,Button,Unsure,0,86,0,24,0,12,Tunisian fabric
323,Crétoise 3,,,Curved,,,Cylindrical,Rounded basal point,Unsure,30,60,0,0,0,0,Crétoise 3 fabric
324,Dressel 1,Collar,Carinated,Long vertical,Ovoid/Elliptical,Cylindrical,Cylindrical,Spike/tapered,Unsure,97,117,28,29,17,18,
325,Dressel 2-4 African,Rounded,Carinated,Short vertical,Bifid,Short/narrow,Cylindrical,Spike/tapered,Unsure,71,97,20,35,12,14,Tunisian fabric
326,Dressel 2-4 Cilician,Beaded,Carinated,Long vertical,Bifid,Short/narrow,Cylindrical,Spike/tapered,Unsure,0,0,0,0,0,0,Dressel 2-4 Cilician fabric
327,Dressel 2-4 Flat-based,Beaded,Rounded,Long vertical,Bifid,,Ovoid,Flat,10-15 litres,59,60,33,34,10,11,Campanian 'Black Sand' fabric
328,Dressel 2-4 in Verulamium Region White Ware,Beaded,Carinated,Long vertical,Bifid,Hourglass,Tapered,Spike/tapered,Unsure,0,0,30,31,11,13,Dressel 2-4 Verulamium Region White Ware fabric
329,Dressel 30 - Keay 1B,Everted,Rounded,Curved,Semi-circular,Hourglass,Piriform,Knobbed,Unsure,67,69,37,37,12,14,Keay 1B fabric
332,Gauloise 10,Everted,Carinated,Long vertical,Ovoid/Elliptical,Cylindrical,Tapered,Spike/tapered,Unsure,0,0,22,28,15,16,Gauloise 10 fabric
333,Gauloise 11,Everted,Carinated,Long vertical,Grooved,Cylindrical,Tapered,Spike/tapered,Unsure,57,58,17,18,10,11,Gauloise 11 fabric
